1,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sheet1,Geographic Distance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZGC1,ZGC2,ZGC3,ZGC4,ZGC5,ZGC6,ZGC7,ZGC8,ZGC9,ZGC10,ZGC11,ZGC12,ZGC13,ZGC14,ZGC15,ZGC16,ZGC17,ZGC18,ZGC19,ZGC20,ZGC21,ZGC22,ZGC23,ZGC24,ZGC25,ZGC26,ZGC27,ZGC28,ZGC29,ZGC30,ZGC31,ZGC32,ZGC33,ZGC34,ZGC35,ZGC36,ZGC37,ZGC38,ZGC39,ZGC40,ZGC41,ZGC42,ZGC43,ZGC44,ZGC45,ZGC46,ZGC47,ZGC48,ZGC49,ZGC50,ZGC51,ZGC52,ZGC53,ZGC54,ZGC55,ZGC56,ZGC57,ZGC58,ZGC59,ZGC60,ZGC61,ZGC62,ZGC63,ZGC64,ZGC65,ZGC66,ZGC67,ZGC68,ZGC69,ZGC70,ZGC71,ZGC72,ZGC73,
72.780,69.257,59.354,51.245,50.000,55.082,58.034,62.201,62.201,65.069,70.114,70.114,70.114,39.926,26.462,24.331,32.140,40.000,42.297,42.297,37.165,37.165,29.517,24.824,24.824,24.824,25.125,21.915,21.915,19.526,19.526,16.508,16.125,20.597,14.142,12.530,13.000,13.038,2.236,12.166,12.166,10.308,13.038,6.708,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGC45
72.780,69.257,59.354,51.245,50.000,55.082,58.034,62.201,62.201,65.069,70.114,70.114,70.114,39.926,26.462,24.331,32.140,40.000,42.297,42.297,37.165,37.165,29.517,24.824,24.824,24.824,25.125,21.915,21.915,19.526,19.526,16.508,16.125,20.597,14.142,12.530,13.000,13.038,2.236,12.166,12.166,10.308,13.038,6.708,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGC46
80.281,76.763,66.914,58.822,57.079,62.000,65.008,69.029,69.029,72.000,77.006,77.006,77.006,47.538,34.077,31.780,39.459,47.096,49.041,49.041,43.684,43.684,36.087,31.516,31.516,31.516,32.684,29.415,29.415,26.912,26.912,24.010,23.707,27.951,21.587,19.105,17.464,20.591,9.220,19.026,19.026,16.530,18.439,13.000,7.616,7.616,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGC47
80.281,76.763,66.914,58.822,57.079,62.000,65.008,69.029,69.029,72.000,77.006,77.006,77.006,47.538,34.077,31.780,39.459,47.096,49.041,49.041,43.684,43.684,36.087,31.516,31.516,31.516,32.684,29.415,29.415,26.912,26.912,24.010,23.707,27.951,21.587,19.105,17.464,20.591,9.220,19.026,19.026,16.530,18.439,13.000,7.616,7.616,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,ZGC48
80.281,76.763,66.914,58.822,57.079,62.000,65.008,69.029,69.029,72.000,77.006,77.006,77.006,47.538,34.077,31.780,39.459,47.096,49.041,49.041,43.684,43.684,36.087,31.516,31.516,31.516,32.684,29.415,29.415,26.912,26.912,24.010,23.707,27.951,21.587,19.105,17.464,20.591,9.220,19.026,19.026,16.530,18.439,13.000,7.616,7.616,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,ZGC49
84.646,81.133,71.324,63.246,61.205,66.030,69.065,73.000,73.000,76.026,81.006,81.006,81.006,51.995,38.539,36.139,43.738,51.245,53.000,53.000,47.542,47.542,40.003,35.514,35.514,35.514,37.152,33.871,33.871,31.341,31.341,28.469,28.178,32.268,25.962,23.345,21.095,25.060,13.601,23.195,23.195,20.524,22.091,17.117,12.083,12.083,4.472,4.472,4.472,0.000,,,,,,,,,,,,,,,,,,,,,,,,ZGC50
91.662,88.128,77.909,69.721,70.178,75.425,78.313,82.608,82.608,85.376,90.449,90.449,90.449,57.984,44.780,44.011,52.038,60.208,62.801,62.801,57.760,57.760,50.112,45.401,45.401,45.401,42.264,38.733,38.733,35.795,35.795,33.801,34.132,40.611,34.132,26.683,21.541,31.064,22.804,32.757,32.757,30.842,33.242,27.203,20.616,20.616,15.264,15.264,15.264,13.454,0.000,,,,,,,,,,,,,,,,,,,,,,,ZGC51
97.372,93.842,83.828,75.672,74.560,79.500,82.506,86.523,86.523,89.500,94.505,94.505,94.505,64.134,50.695,49.003,56.818,64.570,66.530,66.530,61.131,61.131,53.558,49.010,49.010,49.010,48.703,45.238,45.238,42.432,42.432,40.003,40.041,45.277,38.823,33.560,29.262,36.882,26.575,36.514,36.514,34.015,35.725,30.500,24.683,24.683,17.500,17.500,17.500,13.647,9.179,0.000,,,,,,,,,,,,,,,,,,,,,,ZGC52
86.701,83.165,72.965,64.777,65.192,70.456,73.335,77.647,77.647,80.399,85.475,85.475,85.475,53.057,39.815,39.013,47.043,55.227,57.871,57.871,52.880,52.880,45.235,40.512,40.512,40.512,37.366,33.842,33.842,30.923,30.923,28.853,29.155,35.627,29.155,21.840,17.000,26.077,18.028,27.893,27.893,26.101,28.636,22.472,15.811,15.811,11.314,11.314,11.314,10.770,5.000,12.420,0.000,,,,,,,,,,,,,,,,,,,,,ZGC53
86.701,83.165,72.965,64.777,65.192,70.456,73.335,77.647,77.647,80.399,85.475,85.475,85.475,53.057,39.815,39.013,47.043,55.227,57.871,57.871,52.880,52.880,45.235,40.512,40.512,40.512,37.366,33.842,33.842,30.923,30.923,28.853,29.155,35.627,29.155,21.840,17.000,26.077,18.028,27.893,27.893,26.101,28.636,22.472,15.811,15.811,11.314,11.314,11.314,10.770,5.000,12.420,0.000,0.000,,,,,,,,,,,,,,,,,,,,ZGC54
