1,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sheet1,Geographic Distance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTC1,LTC2,LTC3,LTC4,LTC5,LTC6,LTC7,LTC8,LTC9,LTC10,LTC11,LTC12,LTC13,LTC14,LTC15,LTC16,LTC17,LTC18,LTC19,LTC20,LTC21,LTC22,LTC23,LTC24,LTC25,LTC26,LTC27,LTC28,LTC29,LTC30,LTC31,LTC32,LTC33,LTC34,LTC35,LTC36,LTC37,LTC38,LTC39,LTC40,LTC41,LTC42,LTC43,LTC44,LTC45,LTC46,LTC47,LTC48,LTC49,LTC50,LTC51,LTC52,LTC53,LTC54,LTC55,LTC56,LTC57,LTC58,LTC59,LTC60,LTC61,LTC62,LTC63,LTC64,LTC65,
87.006,69.871,84.853,53.600,79.310,71.063,72.111,68.118,76.792,85.147,58.009,62.514,51.546,75.186,75.186,75.186,78.058,79.555,44.385,65.734,49.010,56.080,52.240,60.415,89.269,47.043,39.459,30.676,37.162,28.071,22.804,22.804,22.804,22.804,67.007,12.806,12.806,23.087,29.547,19.000,27.019,22.472,25.710,19.698,6.083,6.083,6.083,8.246,0.000,0.000,0.000,,,,,,,,,,,,,,,LTC51
88.645,69.354,84.214,52.240,79.762,72.567,75.286,71.470,76.322,88.057,60.440,62.801,49.041,73.000,73.000,73.000,79.429,77.026,43.566,64.070,52.555,57.974,53.600,59.211,87.023,49.649,40.804,30.083,34.132,32.249,25.060,25.060,25.060,25.060,69.123,14.142,14.142,30.480,27.659,26.173,21.024,12.042,27.731,8.000,18.028,18.028,18.028,21.541,18.000,18.000,18.000,0.000,,,,,,,,,,,,,,LTC52
72.801,52.953,67.602,35.903,63.561,56.921,60.415,56.798,59.841,72.801,45.618,46.840,32.388,56.080,56.080,56.080,63.600,60.008,27.857,47.381,38.833,42.953,38.484,42.755,70.007,35.511,26.627,16.279,18.028,21.954,15.811,15.811,15.811,15.811,53.852,14.765,14.765,23.770,13.454,21.095,5.657,5.385,17.000,9.487,22.825,22.825,22.825,24.698,27.019,27.019,27.019,17.263,0.000,,,,,,,,,,,,,LTC53
80.604,61.294,76.164,44.181,71.701,64.537,67.357,63.569,68.264,80.081,52.498,54.745,41.012,65.008,65.008,65.008,71.386,69.065,35.511,56.036,44.777,50.000,45.607,51.157,79.057,41.785,32.894,22.136,26.077,25.000,17.804,17.804,17.804,17.804,61.131,9.220,9.220,24.207,19.647,20.248,13.000,4.472,20.248,1.000,16.125,16.125,16.125,19.000,18.788,18.788,18.788,8.062,9.849,0.000,,,,,,,,,,,,LTC54
89.560,71.000,86.006,54.037,81.099,73.437,75.505,71.589,78.000,88.459,60.828,64.070,51.245,75.326,75.326,75.326,80.399,79.511,45.000,66.121,52.393,58.549,54.332,61.033,89.454,49.820,41.304,31.016,36.222,31.321,24.515,24.515,24.515,24.515,69.721,12.369,12.369,28.178,29.017,23.707,23.770,16.125,27.459,12.207,12.806,12.806,12.806,16.401,11.180,11.180,11.180,7.280,21.471,11.662,0.000,,,,,,,,,,,LTC55
85.053,67.365,82.389,50.804,77.058,69.007,70.456,66.483,74.330,83.487,56.080,60.133,48.508,72.367,72.367,72.367,76.007,76.688,41.593,62.968,47.265,54.009,50.010,57.706,86.493,45.044,37.054,27.659,33.838,26.077,20.100,20.100,20.100,20.100,65.069,8.944,8.944,21.840,26.249,17.464,23.022,18.028,23.087,15.232,5.000,5.000,5.000,8.485,4.472,4.472,4.472,14.142,22.672,14.318,8.062,0.000,,,,,,,,,,LTC56
85.147,68.659,83.546,52.811,77.782,69.354,70.000,66.000,75.505,83.006,56.223,61.188,51.078,74.330,74.330,74.330,76.322,78.746,43.658,64.846,47.096,54.452,50.804,59.481,88.323,45.398,38.328,30.414,37.216,26.683,22.361,22.361,22.361,22.361,65.192,14.422,14.422,21.095,29.682,17.464,28.320,25.080,25.080,22.804,6.403,6.403,6.403,6.325,4.472,4.472,4.472,22.091,29.155,21.840,15.524,8.000,0.000,,,,,,,,,LTC57
50.329,30.083,44.553,13.416,40.804,34.886,39.408,36.235,36.878,51.000,25.456,24.597,9.487,33.015,33.015,33.015,41.231,37.014,8.544,24.331,21.932,22.627,18.439,19.925,47.011,18.385,13.038,14.213,7.211,20.809,22.204,22.204,22.204,22.204,32.450,31.953,31.953,27.019,14.765,28.320,19.105,28.000,19.849,32.016,38.471,38.471,38.471,38.275,44.283,44.283,44.283,40.012,23.087,32.062,42.755,40.853,44.418,0.000,,,,,,,,LTC58
84.853,66.030,81.006,49.000,76.236,68.731,71.063,67.186,73.027,83.952,56.294,59.211,46.098,70.178,70.178,70.178,75.664,74.330,40.050,61.033,48.083,53.935,49.649,56.000,84.291,45.354,36.674,26.173,31.064,27.313,20.248,20.248,20.248,20.248,65.115,8.602,8.602,25.000,24.021,20.616,18.439,10.817,23.087,7.071,12.369,12.369,12.369,15.811,13.342,13.342,13.342,5.831,16.125,6.403,5.385,9.055,17.029,37.483,0.000,,,,,,,LTC59
93.134,76.485,91.411,60.440,85.709,77.318,78.000,74.000,83.361,91.005,64.195,69.051,58.523,82.006,82.006,82.006,84.291,86.400,51.245,72.533,55.082,62.394,58.694,67.186,96.047,53.339,46.098,37.696,44.283,34.525,29.732,29.732,29.732,29.732,73.171,20.000,20.000,29.069,36.674,25.318,34.205,29.206,32.573,26.077,13.000,13.000,13.000,14.142,7.211,7.211,7.211,22.804,33.971,25.239,15.524,11.314,8.000,51.430,19.235,0.000,,,,,,LTC60
92.396,73.246,88.142,56.143,83.600,76.295,78.848,75.000,80.225,91.679,64.031,66.611,53.009,77.006,77.006,77.006,83.187,81.056,47.381,68.029,55.973,61.612,57.271,63.127,91.049,53.160,44.385,33.734,38.053,35.341,28.231,28.231,28.231,28.231,72.780,16.643,16.643,33.015,31.401,28.601,25.000,16.125,31.016,12.042,18.868,18.868,18.868,22.472,17.464,17.464,17.464,4.123,21.378,12.000,6.325,14.318,21.840,44.045,8.062,21.095,0.000,,,,,LTC61
56.036,39.850,54.571,25.239,48.662,40.200,41.110,37.121,46.573,54.148,27.074,32.280,24.759,46.098,46.098,46.098,47.170,50.567,16.971,36.674,18.000,25.318,21.840,31.305,59.808,16.279,10.630,11.180,16.279,4.243,11.402,11.402,11.402,11.402,36.056,22.847,22.847,8.062,13.601,12.042,20.591,27.586,9.220,29.833,25.080,25.080,25.080,23.022,31.016,31.016,31.016,36.359,26.077,29.206,35.114,29.428,29.155,21.932,31.305,37.121,39.357,0.000,,,,LTC62
61.400,41.593,56.321,24.515,52.173,45.541,49.193,45.651,48.508,61.465,34.482,35.440,21.095,45.000,45.000,45.000,52.202,49.041,16.553,36.125,28.320,31.765,27.295,31.401,59.034,24.839,16.279,8.062,6.708,16.000,13.416,13.416,13.416,13.416,42.544,20.591,20.591,20.616,6.083,20.125,7.071,16.031,12.369,20.000,27.803,27.803,27.803,28.284,33.287,33.287,33.287,28.000,11.402,20.025,30.806,29.530,34.059,12.042,25.495,40.497,32.016,19.235,0.000,,,LTC63
89.140,71.176,86.209,54.452,81.006,73.062,74.673,70.711,78.160,87.693,60.208,64.031,51.971,75.954,75.954,75.954,80.056,80.231,45.277,66.611,51.478,58.078,54.009,61.400,90.094,49.163,41.000,31.257,37.108,30.265,24.000,24.000,24.000,24.000,69.181,12.166,12.166,26.249,29.614,21.840,25.495,19.105,27.000,15.620,9.434,9.434,9.434,12.806,6.325,6.325,6.325,12.166,24.207,14.866,5.000,4.472,10.770,43.966,8.602,10.770,11.180,33.734,32.311,0.000,,LTC64
73.110,56.754,71.589,41.231,65.765,57.315,58.009,54.009,63.561,71.028,44.181,49.244,39.825,62.626,62.626,62.626,64.281,67.067,32.202,53.141,35.057,42.426,38.833,47.760,76.538,33.377,26.571,19.849,26.907,14.866,12.042,12.042,12.042,12.042,53.151,11.705,11.705,9.055,19.849,5.831,21.190,22.091,14.213,21.840,8.944,8.944,8.944,6.083,14.318,14.318,14.318,25.239,24.187,20.881,21.260,13.892,12.042,34.059,19.416,20.025,26.907,17.117,25.239,18.358,0.000,LTC65
