1,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sheet1,Geographic Distance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTB1,LTB2,LTB3,LTB4,LTB5,LTB6,LTB7,LTB8,LTB9,LTB10,LTB11,LTB12,LTB13,LTB14,LTB15,LTB16,LTB17,LTB18,LTB19,LTB20,LTB21,LTB22,LTB23,LTB24,LTB25,LTB26,LTB27,LTB28,LTB29,LTB30,LTB31,LTB32,LTB33,LTB34,LTB35,LTB36,LTB37,LTB38,LTB39,LTB40,LTB41,LTB42,LTB43,LTB44,LTB45,LTB46,LTB47,LTB48,LTB49,LTB50,LTB51,LTB52,LTB53,LTB54,LTB55,LTB56,LTB57,LTB58,LTB59,LTB60,LTB61,LTB62,LTB63,LTB64,LTB65,LTB66,LTB67,
93.215,89.107,90.449,87.824,84.593,86.284,84.000,84.000,83.054,79.404,76.026,78.339,74.673,81.222,74.216,77.104,79.624,67.067,53.367,72.062,63.151,43.290,43.290,65.521,48.260,63.127,60.133,68.066,39.013,67.602,52.038,64.288,45.277,33.838,38.275,27.459,17.692,17.692,25.060,31.145,16.000,25.020,59.203,21.190,21.190,21.190,12.806,30.480,5.385,5.385,5.385,6.403,10.050,28.443,20.224,0.000,0.000,,,,,,,,,,,LTB57
93.215,89.107,90.449,87.824,84.593,86.284,84.000,84.000,83.054,79.404,76.026,78.339,74.673,81.222,74.216,77.104,79.624,67.067,53.367,72.062,63.151,43.290,43.290,65.521,48.260,63.127,60.133,68.066,39.013,67.602,52.038,64.288,45.277,33.838,38.275,27.459,17.692,17.692,25.060,31.145,16.000,25.020,59.203,21.190,21.190,21.190,12.806,30.480,5.385,5.385,5.385,6.403,10.050,28.443,20.224,0.000,0.000,0.000,,,,,,,,,,LTB58
89.560,85.475,87.092,84.291,81.154,83.024,81.154,81.154,80.025,76.059,73.062,74.330,71.176,78.772,70.214,74.545,75.802,64.498,49.497,69.029,59.414,41.231,41.231,61.392,46.098,60.008,57.706,64.382,36.497,64.125,49.497,60.208,42.000,29.614,33.956,24.000,12.207,12.207,20.248,28.071,13.928,22.804,55.109,17.117,17.117,17.117,7.616,25.000,11.180,11.180,11.180,9.220,8.062,26.926,18.788,5.831,5.831,5.831,0.000,,,,,,,,,LTB59
44.045,40.112,42.755,39.319,36.674,39.294,39.812,39.812,37.696,32.280,31.765,28.071,26.926,40.224,24.021,35.805,30.017,27.586,6.403,27.785,14.866,22.561,22.561,15.033,22.000,19.849,24.187,19.647,20.125,20.616,19.416,14.000,12.369,17.088,12.649,24.187,35.355,35.355,26.476,22.023,36.235,29.206,9.055,29.732,29.732,29.732,39.051,25.179,54.626,54.626,54.626,47.854,41.231,29.732,34.409,50.922,50.922,50.922,46.573,0.000,,,,,,,,LTB60
65.000,61.008,63.285,60.075,57.219,59.540,58.941,58.941,57.271,52.469,50.695,49.163,47.265,57.940,45.100,53.488,51.010,43.863,25.179,46.573,35.128,25.612,25.612,36.125,29.000,37.643,38.079,40.112,20.000,40.447,30.232,35.057,20.591,6.403,9.220,10.000,14.318,14.318,5.831,12.649,18.601,16.125,30.017,10.630,10.630,10.630,18.385,6.403,35.228,35.228,35.228,29.069,22.023,20.025,19.313,30.887,30.887,30.887,26.000,21.095,0.000,,,,,,,LTB61
94.021,90.050,92.347,89.140,86.284,88.566,87.664,87.664,86.145,81.498,79.429,78.026,76.322,86.128,74.007,81.743,80.006,71.840,54.231,75.313,64.195,50.090,50.090,65.008,54.626,66.287,65.460,69.181,44.777,69.462,57.245,64.000,48.508,34.525,38.210,31.385,15.811,15.811,24.515,35.847,24.759,32.450,59.008,24.166,24.166,24.166,15.000,25.179,22.000,22.000,22.000,22.136,20.000,37.202,29.732,17.117,17.117,17.117,13.000,50.000,29.069,0.000,,,,,,LTB62
89.022,85.006,87.092,84.006,81.056,83.217,82.037,82.037,80.623,76.164,73.824,73.246,71.063,80.281,69.181,75.928,75.060,65.970,49.010,69.721,59.008,43.863,43.863,60.208,48.466,60.671,59.481,64.008,38.626,64.125,51.245,59.135,42.755,29.069,33.000,25.298,10.050,10.050,19.026,29.732,18.385,26.077,54.083,18.028,18.028,18.028,8.602,21.190,18.682,18.682,18.682,17.117,13.892,30.806,23.345,13.342,13.342,13.342,8.000,45.177,24.083,6.403,0.000,,,,,LTB63
49.041,45.011,47.170,44.011,41.110,43.417,43.012,43.012,41.231,36.346,34.785,33.541,31.145,42.485,29.428,38.013,35.128,28.844,9.055,30.676,19.026,18.000,18.000,20.616,18.682,21.932,24.042,24.021,14.560,24.331,17.493,19.416,8.246,11.180,7.000,17.889,30.017,30.017,21.024,15.620,29.967,22.804,14.318,23.770,23.770,23.770,33.377,21.190,48.466,48.466,48.466,41.629,35.114,23.431,28.018,44.922,44.922,44.922,40.792,6.403,16.125,45.177,40.000,0.000,,,,LTB64
79.076,74.953,75.954,73.546,70.214,71.701,69.065,69.065,68.264,64.938,61.205,64.846,60.415,66.068,60.745,62.008,65.803,52.000,39.925,57.315,49.336,28.071,28.071,52.393,33.061,48.508,45.011,54.120,24.083,53.367,37.014,51.078,31.048,22.023,26.401,14.422,15.133,15.133,16.553,17.088,3.162,10.198,46.098,11.180,11.180,11.180,12.083,24.352,17.117,17.117,17.117,10.050,6.403,13.153,5.000,15.297,15.297,15.297,14.422,38.588,21.633,26.249,20.000,32.249,0.000,,,LTB65
85.703,81.584,82.735,80.231,76.942,78.518,76.026,76.026,75.166,71.701,68.118,71.169,67.082,73.110,67.052,69.029,72.277,59.008,46.174,64.195,55.785,35.128,35.128,58.523,40.112,55.326,52.038,60.638,31.016,60.017,44.000,57.245,37.656,27.295,31.765,20.248,14.866,14.866,19.799,23.537,8.246,17.029,52.202,15.000,15.000,15.000,10.198,26.627,10.440,10.440,10.440,3.606,3.606,20.224,12.042,8.246,8.246,8.246,8.602,44.283,25.495,21.471,15.811,38.079,7.071,0.000,,LTB66
83.678,79.555,80.411,78.102,74.733,76.118,73.246,73.246,72.560,69.426,65.490,69.642,65.000,70.000,65.552,66.030,70.520,56.080,44.777,61.660,54.083,32.016,32.016,57.271,37.014,52.953,49.041,58.822,28.443,57.974,41.195,55.946,35.735,27.019,31.401,19.416,18.111,18.111,21.095,21.932,7.810,14.866,50.990,15.811,15.811,15.811,14.036,28.636,13.038,13.038,13.038,6.325,7.071,17.029,9.487,12.530,12.530,12.530,13.601,43.566,26.401,26.420,20.616,37.216,5.000,5.000,0.000,LTB67
