Mantel Results for GGD (2) vs Phiptp,,,,
,,,,
X Matrix,GGD (2),,,
Y Matrix,Phiptp,,,
Data Title,,,,
,,,,
No. Samples,53,No. in Matrix,1378,
No. Permutations,99,,,
,,,,
SSx,SSy,SPxy,Rxy,P(rxy-rand >= rxy-data)
1194133.169,1194133.169,1194133.169,1.000,0.010
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
75.710,75.710,,16,34
74.741,74.741,,17,34
51.120,51.120,,18,34
46.328,46.328,,19,34
42.500,42.500,,20,34
32.004,32.004,,21,34
26.505,26.505,,22,34
21.645,21.645,,23,34
22.771,22.771,,24,34
17.734,17.734,,25,34
17.734,17.734,,26,34
17.734,17.734,,27,34
11.673,11.673,,28,34
8.846,8.846,,29,34
3.000,3.000,,30,34
4.610,4.610,,31,34
4.610,4.610,,32,34
4.610,4.610,,33,34
86.977,86.977,,1,35
81.632,81.632,,2,35
75.313,75.313,,3,35
68.884,68.884,,4,35
75.425,75.425,,5,35
74.169,74.169,,6,35
77.058,77.058,,7,35
73.007,73.007,,8,35
74.061,74.061,,9,35
85.646,85.646,,10,35
85.646,85.646,,11,35
85.646,85.646,,12,35
85.646,85.646,,13,35
86.506,86.506,,14,35
73.007,73.007,,15,35
68.660,68.660,,16,35
68.118,68.118,,17,35
45.100,45.100,,18,35
41.761,41.761,,19,35
36.000,36.000,,20,35
23.770,23.770,,21,35
17.923,17.923,,22,35
17.923,17.923,,23,35
20.887,20.887,,24,35
16.711,16.711,,25,35
16.711,16.711,,26,35
16.711,16.711,,27,35
15.133,15.133,,28,35
13.000,13.000,,29,35
11.236,11.236,,30,35
13.435,13.435,,31,35
13.435,13.435,,32,35
13.435,13.435,,33,35
8.846,8.846,,34,35
82.098,82.098,,1,36
76.771,76.771,,2,36
70.178,70.178,,3,36
64.031,64.031,,4,36
71.007,71.007,,5,36
70.114,70.114,,6,36
73.246,73.246,,7,36
69.462,69.462,,8,36
70.257,70.257,,9,36
81.598,81.598,,10,36
81.598,81.598,,11,36
81.598,81.598,,12,36
81.598,81.598,,13,36
83.104,83.104,,14,36
69.721,69.721,,15,36
66.620,66.620,,16,36
65.307,65.307,,17,36
41.437,41.437,,18,36
36.125,36.125,,19,36
33.242,33.242,,20,36
25.456,25.456,,21,36
21.360,21.360,,22,36
11.500,11.500,,23,36
12.540,12.540,,24,36
7.632,7.632,,25,36
7.632,7.632,,26,36
7.632,7.632,,27,36
6.325,6.325,,28,36
5.657,5.657,,29,36
10.012,10.012,,30,36
13.509,13.509,,31,36
13.509,13.509,,32,36
13.509,13.509,,33,36
10.308,10.308,,34,36
9.849,9.849,,35,36
82.098,82.098,,1,37
76.771,76.771,,2,37
70.178,70.178,,3,37
64.031,64.031,,4,37
71.007,71.007,,5,37
70.114,70.114,,6,37
73.246,73.246,,7,37
69.462,69.462,,8,37
70.257,70.257,,9,37
81.598,81.598,,10,37
81.598,81.598,,11,37
81.598,81.598,,12,37
81.598,81.598,,13,37
83.104,83.104,,14,37
69.721,69.721,,15,37
66.620,66.620,,16,37
65.307,65.307,,17,37
41.437,41.437,,18,37
36.125,36.125,,19,37
33.242,33.242,,20,37
25.456,25.456,,21,37
21.360,21.360,,22,37
11.500,11.500,,23,37
12.540,12.540,,24,37
7.632,7.632,,25,37
7.632,7.632,,26,37
7.632,7.632,,27,37
6.325,6.325,,28,37
5.657,5.657,,29,37
10.012,10.012,,30,37
13.509,13.509,,31,37
13.509,13.509,,32,37
13.509,13.509,,33,37
10.308,10.308,,34,37
9.849,9.849,,35,37
0.000,0.000,,36,37
82.098,82.098,,1,38
76.771,76.771,,2,38
